id,name,address,city,postal_code,stars,review_count,is_open,categories
2789,"""Shula's Steak House""","""5040 West Wild Horse Pass Blvd, Wild Horse Pass Hotel & Casino""",Chandler,85226,3.5,180,1,Steakhouses;Seafood;Restaurants;American (Traditional)
2790,"""Saddle Mountain Brewing Company""","""15651 W Roosevelt St""",Goodyear,85338,4,397,1,Gastropubs;Breweries;Bars;Restaurants;Food;American (Traditional);Nightlife
2791,"""Colette Grand Cafe""","""550 Wellington Street W""",Toronto,M5V 2V5,3.5,200,1,Cafes;French;Restaurants;Food;Coffee & Tea
2792,"""Boccone Pronto""","""6301 Silver Dart Drive""",Mississauga,L5P 1B2,2,20,1,Breakfast & Brunch;Coffee & Tea;Food;Restaurants;Pizza;Canadian (New)
2793,"""Cartel Coffee Lab""","""1 North 1st St""",Phoenix,85004,4,255,1,Breakfast & Brunch;Beer;Wine & Spirits;Bakeries;Coffee & Tea;Food;Restaurants
2794,"""Fat Bastard Burrito""","""808 York Mills Road""",Toronto,M3B 1X8,3,16,1,Restaurants;Mexican;Fast Food
2795,"""Joe Maxx Coffee""","""500 E Windmill Ln, Ste 175""",Las Vegas,89123,4.5,129,1,Sandwiches;Coffee & Tea;Patisserie/Cake Shop;Restaurants;Vegan;Cafes;Food;Breakfast & Brunch;Bagels;Ice Cream & Frozen Yogurt
2796,"""Aux Vivres""","""4631 Boulevard Saint-laurent""",Montréal,H2T 1R2,4,344,1,Sandwiches;Juice Bars & Smoothies;Vegan;Restaurants;Vegetarian;Food;Coffee & Tea
2797,"""Alfred's Deli & Market""","""3041 Brereton St""",Pittsburgh,15219,5,13,1,Restaurants;Grocery;Delis;Polish;Food;Gluten-Free
2798,"""Cafe Truva""","""Royal Mile, 251-253 Canongate""",Edinburgh,EH8 8BQ,3,19,1,Restaurants;Coffee & Tea;Mediterranean;Turkish;Food
2799,"""McDonald's""","""9251 E Shea Blvd""",Scottsdale,85260,2,15,1,Burgers;Restaurants;Fast Food
2800,"""Trout Lily Market""","""1297 Charlotte Hwy""",Fairview,28730,3.5,8,1,Health Markets;Restaurants;Specialty Food;Delis;Gastropubs;Food
2801,"""Sprinly""","""""",Cleveland,44106,5,21,1,Nutritionists;Food Delivery Services;Personal Chefs;Vegetarian;Health & Medical;Food;Event Planning & Services;Vegan;Restaurants
2802,"""Molly B's Gluten-Free Kitchen""","""60 Rayette Road, Suite 12""",Concord,L4K 2G4,3.5,3,1,Restaurants;Gluten-Free;Food;Bakeries
2803,"""I Am Thai Cuisine""","""310 E Warm Springs Rd, Ste G""",Las Vegas,89119,4.5,163,1,Food;Restaurants;Thai
2804,"""Fàme Caffe""","""4700 N Central Ave""",Phoenix,85012,4.5,343,1,Restaurants;Breakfast & Brunch;Coffee & Tea;Food;Tacos;Cafes;Mexican;American (New)
2805,"""McDonalds""","""5010 N 95th Ave""",Glendale,85305,4,3,1,Fast Food;Burgers;Restaurants
2806,"""China Chef""","""33382 Walker Rd, Ste F""",Avon Lake,44012,2.5,16,1,Seafood;Chinese;Soup;Restaurants
2807,"""Chipotle Mexican Grill""","""10325 Cascade Crossing""",Brooklyn,44144,2.5,42,1,Fast Food;Restaurants;Mexican
2808,"""Boucherie Abu Elias""","""733 Boulevard de La Cote-Vertu""",Saint-Laurent,H4L 1Y3,4.5,29,1,Food;Restaurants;Butcher;Middle Eastern
2809,"""Niyoshi II Japanese Express Restaurant""","""3625 Mount Holly Huntersville Rd""",Charlotte,28216,3.5,20,1,Fast Food;Japanese;Restaurants
2810,"""Tim Hortons""","""3760 Boulevard Des Sources""",Dollard-des-Ormeaux,H9B 1Z9,1,4,1,Food;Restaurants;Breakfast & Brunch;Coffee & Tea
2811,"""Feast""","""Newin Centre, 2580 Shepard Avenue""",Mississauga,L5A 4K3,3.5,11,1,Food;Imported Food;Korean;Specialty Food;Ethnic Food;Restaurants
2812,"""Tropical Smoothie Cafe""","""11322 Euclid Ave""",Cleveland,44106,3.5,26,1,Juice Bars & Smoothies;Restaurants;Cafes;Food
2813,"""Kloster's Butcher Shop""","""18025 Yonge Street""",Newmarket,L3Y 8C9,4.5,3,1,Food;Restaurants;Specialty Food;Sandwiches;Butcher;Delis
2814,"""Journey Sushi & Seafood Buffet""","""4325 Lien Rd""",Madison,53704,3.5,172,1,Sushi Bars;Buffets;Seafood;Restaurants
2815,"""Angry Crab Peoria""","""7608 W Cactus Rd""",Peoria,85381,4.5,424,1,Restaurants;American (Traditional);Seafood;Cajun/Creole
2816,"""Böblinger Wichtel""","""Graf -Zeppelin- Platz""",Böblingen,71034,3.5,21,1,Breweries;Restaurants;Food;Swabian;German
2817,"""Lucy's Bake & Deli""","""4522 Potter Rd""",Stallings,28104,5,41,1,Sandwiches;Ethnic Food;Bakeries;Restaurants;Food;Specialty Food;Latin American;Colombian;Venezuelan
2818,"""Vienna Fine Foods""","""1050 Birchmount Road""",Scarborough,M1K 1S4,4.5,9,1,Food;Sandwiches;Specialty Food;Modern European;Ethnic Food;Comfort Food;Event Planning & Services;Caterers;Delis;Restaurants
2819,"""True Coffee Roasters""","""6250 Nesbitt Rd""",Fitchburg,53719,4,42,1,Coffee & Tea;Food;Breakfast & Brunch;Bakeries;Restaurants
2820,"""Hailed Coffee""","""801 Gerrard Street E""",Toronto,M4M 1Y5,4.5,28,1,Desserts;Food;Cafes;Coffee & Tea;Restaurants
2821,"""Main Street Burger Shoppe""","""5917 Main Street""",Whitchurch-Stouffville,L4A 1N2,4,66,1,Food;Restaurants;Burgers
2822,"""Hibachi Japanese Steakhouse""","""6901 Rockside Rd, Ste 111""",Independence,44131,3.5,46,1,Seafood;Japanese;Sushi Bars;Restaurants;Teppanyaki
2823,"""Caramba Mexican Food""","""2340 W Bell Rd""",Phoenix,85023,3.5,98,1,Caterers;Mexican;Event Planning & Services;Food;Restaurants
2824,"""The Chelsea Grille""","""515 Allegheny Ave""",Oakmont,15139,4,44,1,American (New);Italian;Restaurants;Seafood
2825,"""Bojangles' Famous Chicken 'n Biscuits""","""231 E Woodlawn Rd""",Charlotte,28217,2.5,20,1,Fast Food;Southern;Chicken Shop;Breakfast & Brunch;Chicken Wings;Restaurants
2826,"""McDonald's""","""1005 E Southline Rd""",Tuscola,61953,3.5,3,1,Fast Food;Restaurants;Burgers
2827,"""Martin's Deli""","""34985 Detroit Rd""",Avon,44011,3,7,1,Delis;Food;Restaurants;Beer;Wine & Spirits;Sandwiches
2828,"""The Smith Restaurant""","""14608 W Park St""",Burton,44021,4,25,1,American (New);Restaurants;Comfort Food;Barbeque;Breakfast & Brunch
2829,"""Wendy's""","""6732 W Cheyenne Ave""",Las Vegas,89108,2,18,1,Fast Food;Restaurants;Burgers
2830,"""Whataburger""","""4610 S 48th St""",Phoenix,85040,3,47,1,Restaurants;Fast Food;Burgers;American (Traditional)
2831,"""Captain D's""","""101 E Woodlawn Rd""",Charlotte,28210,2.5,14,1,Restaurants;Fish & Chips;Seafood;Fast Food;American (Traditional)
2832,"""Popeyes Louisiana Kitchen""","""26030 Euclid Ave""",Euclid,44132,2,10,1,Fast Food;Chicken Wings;Restaurants
2833,"""Rey Azteca""","""100 Tarentum Bridge Rd""",New Kensington,15068,4,57,1,Mexican;Restaurants;Food;Tex-Mex;Desserts
2834,"""McDonald's""","""1300 W Sunset Rd, Ste 2837""",Henderson,89014,1,9,1,Burgers;Restaurants;Fast Food
2835,"""Ramen Isshin""","""421 College Street""",Toronto,M5T 1T1,4.5,356,1,Noodles;Japanese;Food;Ramen;Restaurants
2836,"""Dairy Queen""","""6768 W Deer Valley Rd""",Glendale,85310,3,18,1,Food;Ice Cream & Frozen Yogurt;Fast Food;Restaurants
2837,"""Alima's Roti and Pastry""","""13 Kenview Boulevard, Unit 49""",Brampton,L6T 5K9,4,19,1,Food;Caribbean;Specialty Food;Restaurants;Indian
2838,"""Bourbon & Bones""","""4200 N Scottsdale Rd""",Scottsdale,85251,4,185,1,Steakhouses;Beer;Wine & Spirits;Desserts;Bars;Restaurants;Food;American (New);Nightlife
2839,"""Villa Madina""","""40 King St W""",Toronto,M5H 3Y2,3,7,1,Restaurants;Fast Food
2840,"""Lucky Curry""","""3636 Steeles Ave E""",Markham,L3R 2Z5,2,14,1,Vietnamese;Restaurants;Thai;Fast Food
2841,"""Subway""","""131 Matthews Station St, Ste 1A""",Matthews,28105,3,8,1,Fast Food;Restaurants;Sandwiches
2842,"""Einstein Bros Bagels""","""4030 E Thunderbird Rd""",Phoenix,85032,2.5,62,1,Bagels;Food;Restaurants;Delis;Sandwiches;Breakfast & Brunch
2843,"""Stan's Northfield Bakery""","""9395 Olde 8 Rd""",Northfield,44067,4,22,1,Polish;Cupcakes;Food;Restaurants;Bakeries
2844,"""Metcalfe's Market""","""726 N Midvale Blvd""",Madison,53705,4,82,1,Florists;Cafes;Shopping;Grocery;Flowers & Gifts;Restaurants;Food
2845,"""La Concha""","""3054 Fish Hatchery Rd""",Madison,53713,4,21,1,Restaurants;Food;Bakeries;Mexican;Delis
2846,"""Chick-fil-A""","""430 S Gammon Rd""",Madison,53719,4,54,1,Fast Food;Event Planning & Services;American (Traditional);Caterers;Restaurants;Food
2847,"""The Shanaz""","""194 Dalkeith Road""",Edinburgh,EH16 5DU,4.5,3,1,Fast Food;Restaurants;Indian
2848,"""Los Cerritos""","""4001 E Indian School Rd""",Phoenix,85018,3.5,32,1,Food;Restaurants;Mexican
2849,"""Market Creations Cafe""","""1100 Superior Ave""",Cleveland,44114,3,9,1,Do-It-Yourself Food;Lounges;Restaurants;Nightlife;Food;Bars;Asian Fusion;Buffets;Cafes;American (New)
2850,"""Eis Cortina""","""Filderbahnstr. 50""",Stuttgart,70567,3.5,4,1,Food;Restaurants;Ice Cream & Frozen Yogurt
2851,"""Swiss Chalet Rotisserie & Grill""","""Toronto Airport, 6300 Silverdart Dr""",Mississauga,L5P 1B2,2.5,10,1,Comfort Food;Barbeque;American (Traditional);Restaurants
2852,"""Carrabba's Italian Grill""","""25054 Sperry Dr""",Westlake,44145,3.5,59,1,Restaurants;Italian;Seafood
2853,"""Chez Henri le Kentucky""","""30 Rue de la Visitation""",Saint-Charles-Borromee,J6E 4M8,3,4,1,Restaurants;Caterers;Canadian (New);Fast Food;Event Planning & Services;Breakfast & Brunch;Burgers
2854,"""Double Pizza""","""280 Saine-catherine""",Montréal,H5B 1E4,1,4,1,Restaurants;Pizza;Fast Food
2855,"""Subway""","""3317 S Higley Rd, Ste 114""",Gilbert,85297,3.5,15,1,Restaurants;Fast Food;Sandwiches
2856,"""Pizza Pronto""","""4611 Centre Ave""",Pittsburgh,15213,3.5,16,1,Pizza;Italian;Sandwiches;Food;Food Delivery Services;Salad;Burgers;Restaurants
2857,"""Pastries N Chaat""","""4030 E Bell Rd, Ste 101""",Phoenix,85032,3.5,98,1,Specialty Food;Food;Ethnic Food;Indian;Restaurants;Bakeries
2858,"""The Second Cup""","""2340 Bloor Street W""",Toronto,M6S 1P3,3,7,1,Sandwiches;Restaurants;Juice Bars & Smoothies;Food;Coffee & Tea;Burmese
2859,"""Gabby's Grill and Taps""","""2899 Bloor St. W.""",Toronto,M8X 1B3,3.5,4,1,Burgers;Bars;Pizza;Seafood;Restaurants;Nightlife;Fish & Chips;Canadian (New);Food
2860,"""Sushi Shop""","""550 Boulevard Cure Labelle""",Laval,H7L 4V6,4,4,1,Asian Fusion;Restaurants;French;Sushi Bars;Fast Food;Japanese
2861,"""Lakeside Coffee""","""109 Lake St""",Rouses Point,12979,4.5,16,1,Coffee & Tea;Salad;Sandwiches;Restaurants;Food
2862,"""Peking Restaurant""","""18198 Sloane Ave""",Lakewood,44107,3.5,27,1,Restaurants;Chinese;Seafood
2863,"""Tandoori Flame""","""8150 Dixie Road""",Brampton,L6T 5N9,3.5,162,1,Buffets;Food;Indian;Restaurants;Beer;Wine & Spirits
2864,"""Chipotle Mexican Grill""","""658 State St""",Madison,53703,4,39,1,Restaurants;Fast Food;Mexican
2865,"""Il Pizzaiolo""","""3405 Harts Run Rd""",Glenshaw,15116,3,20,1,Pasta Shops;Food;Restaurants;Specialty Food;Italian;Pizza
2866,"""Jersey Mike's Subs""","""26433 Great Northern Shopping Ctr""",North Olmstead,44070,4.5,5,1,Fast Food;Restaurants;Delis;Sandwiches
2867,"""Salsarita's Fresh Mexican Grill""","""101 S Tryon St, Ste 5""",Charlotte,28202,3.5,28,1,Fast Food;Event Planning & Services;Mexican;Tex-Mex;Caterers;Restaurants
2868,"""La Nopalera""","""5606 Schroeder Rd""",Madison,53711,4.5,18,1,Juice Bars & Smoothies;Mexican;Ice Cream & Frozen Yogurt;Restaurants;Food
2869,"""Lazeez Tandoori""","""191 Dalry Road""",Edinburgh,EH11 2EB,4,7,1,Fast Food;Halal;Restaurants
2870,"""Vicky's Fish & Chips""","""414 Roncesvalles Avenue""",Toronto,M6R 2N2,3,24,1,Restaurants;Thai;Seafood
2871,"""Magoo's Gourmet Hamburgers & Ice-Cream""","""4242 Dundas Street W""",Etobicoke,M8X 1Y6,4,58,1,Burgers;Fast Food;Restaurants;Ice Cream & Frozen Yogurt;Food
2872,"""Dean Gallery Café""","""73 Belford Road""",Edinburgh,EH4 3DS,4.5,6,1,Sandwiches;Food;Desserts;Restaurants;Cafes;Coffee & Tea
2873,"""Subway""","""106 Clebourne St""",Fort Mill,29715,1.5,9,1,Restaurants;Fast Food;Sandwiches
2874,"""épicerie fine""","""Olgastr. 136""",Stuttgart,70180,5,19,1,Delicatessen;French;Restaurants;Food
2875,"""Mitchell's Fish Market""","""1500 Washington Rd""",Pittsburgh,15228,3,61,1,American (Traditional);Seafood;Restaurants
2876,"""Manhattan Bagel""","""8040 Providence Rd, Ste 200, The Arboretum""",Charlotte,28277,3.5,36,1,Bagels;Restaurants;Kosher;Vegetarian;Food;Vegan
2877,"""Sip Coffee & Beer Garage""","""3620 E Indian School Rd""",Phoenix,85018,4,208,1,Food;Gastropubs;Beer;Wine & Spirits;Nightlife;Beer Bar;Restaurants;Cocktail Bars;Bars;Coffee & Tea
2878,"""FreshSub""","""Bolzstr. 7""",Stuttgart,70173,3.5,22,1,Cafes;Sandwiches;Food;Restaurants;Coffee & Tea;Fast Food
2879,"""PIZZAFIRE""","""2041 Portage Trl""",Cuyahoga Falls,44223,4,54,1,Pizza;Food;Restaurants;Fruits & Veggies;Salad;Specialty Food
2880,"""Texas Land & Cattle""","""7779 Lyles Ln""",Concord,28027,3,136,1,American (Traditional);Steakhouses;Seafood;Restaurants
2881,"""Roberto's Taco Shop""","""2875 S Nellis Blvd, Ste A2""",Las Vegas,89121,3.5,35,1,Mexican;Restaurants;Fast Food
2882,"""Bellevue Resto-Grill""","""102 Rue Sainte-Anne""",Sainte-Anne-de-Bellevue,H9X 1L8,2.5,3,1,Nightlife;Bars;Restaurants;Seafood;Mediterranean
2883,"""Dairy Queen""","""2732 Wilkinson Blvd""",Charlotte,28208,4,12,1,Fast Food;Ice Cream & Frozen Yogurt;Restaurants;Food
2884,"""Wendy's""","""2550 N 75th Ave""",Phoenix,85035,2.5,12,1,Burgers;Fast Food;Restaurants
2885,"""Hansik Korea""","""1101 Finch Avenue W, Unit 4&5""",Toronto,M3J 2C9,3.5,31,1,Barbeque;Seafood;Korean;Restaurants
2886,"""The Green Regime""","""5835 S Eastern Ave, Ste 101""",Las Vegas,89119,4.5,56,1,Salad;Restaurants;Food;Juice Bars & Smoothies;Food Stands;Sandwiches
2887,"""Rally's""","""6201 Brookpark Rd""",Parma,44129,3,8,1,Restaurants;Fast Food;Burgers
2888,"""Chick-fil-A""","""1664 S Stapley Dr""",Mesa,85204,3.5,62,1,Caterers;Fast Food;Chicken Wings;Restaurants;Event Planning & Services
2889,"""Las Dos Fronteras""","""3292 Fulton Rd""",Cleveland,44109,3.5,51,1,Food;Specialty Food;Mexican;Restaurants;Ethnic Food
2890,"""Chatime""","""1811 Saint-Catherine O""",Montréal,H3H 1M1,4,44,1,Bubble Tea;Food;Restaurants;Taiwanese;Coffee & Tea
2891,"""Chipotle Mexican Grill""","""3395 W Chandler Blvd, Ste 1""",Chandler,85226,3.5,103,1,Mexican;Restaurants;Fast Food;Tex-Mex
2892,"""Roy's Restaurant""","""7151 W Ray Rd""",Chandler,85226,4,334,1,Restaurants;Steakhouses;Seafood;Hawaiian;Asian Fusion;Sushi Bars
2893,"""Taco Bell""","""1909 West Deer Valley Rd""",Phoenix,85027,4,30,1,Fast Food;Restaurants;Tex-Mex;Mexican
2894,"""Dilworth Tasting Room""","""300 E Tremont Ave""",Charlotte,28203,4.5,77,1,Nightlife;Wineries;Restaurants;Bars;Wine Tasting Room;Food;Arts & Entertainment;Tapas/Small Plates;Wine Bars;Beer;Wine & Spirits;Modern European
2895,"""Chipotle Mexican Grill""","""2224 E William Field Rd, Ste 109""",Gilbert,85295,3,57,1,Fast Food;Mexican;Restaurants
2896,"""Mitchell's Fish Market""","""28601 Chagrin Blvd""",Woodmere,44122,3,142,1,Restaurants;Seafood;American (Traditional)
2897,"""Olive Garden Italian Restaurant""","""26000 Harvard Rd""",Beachwood,44122,2,65,1,Nightlife;Fast Food;Bars;Salad;Italian;Wine Bars;Restaurants
2898,"""Crust Chandler-Simply Italian""","""10 N San Marcos Pl""",Chandler,85225,3.5,192,1,Food;Beer;Wine & Spirits;Pizza;Restaurants;Italian
2899,"""Noble Eatery""","""4525 N 24th St""",Phoenix,85016,4.5,105,1,Salad;Cafes;Restaurants;Tapas/Small Plates;Vegetarian;Bakeries;Sandwiches;Food
2900,"""Jack in the Box""","""3311 S Nellis Blvd""",Las Vegas,89121,3.5,12,1,Burgers;Restaurants;Fast Food
2901,"""Popeyes Louisiana Kitchen""","""3426 W Greenway Rd""",Phoenix,85053,2.5,64,1,American (Traditional);Breakfast & Brunch;Fast Food;Chicken Wings;Restaurants;Salad
2902,"""Twisted Italian""","""9940 W Happy Valley Pkwy, Ste 1080""",Peoria,85383,4,223,1,Restaurants;Italian;Nightlife;Wine Bars;Breakfast & Brunch;Comfort Food;Bars
2903,"""Mr Chicken""","""9010 Darrow Rd""",Twinsburg,44087,2,12,1,Fast Food;Chicken Shop;Chicken Wings;Restaurants
2904,"""The Keg Steakhouse + Bar - York Street""","""165 York Street""",Toronto,M5H 3R8,4,193,1,Seafood;Steakhouses;Bars;Nightlife;Restaurants
2905,"""Highland Creek Golf Club""","""7101 Highland Creek Pkwy""",Charlotte,28269,2.5,19,1,Active Life;Comfort Food;Nightlife;Bars;Sports Bars;Restaurants;Golf
2906,"""Jersey Mike's Subs""","""1537 W Broadway Rd""",Tempe,85282,3,20,1,Sandwiches;Delis;Restaurants;Fast Food
2907,"""Planta Burger""","""4 Temperance Street""",Toronto,M5H 1Y4,3,17,1,Desserts;Vegan;Restaurants;Burgers;Food
2908,"""Joseph Pearce""","""23 Elm Row""",Edinburgh,EH7 4AA,4,41,1,Restaurants;Breakfast & Brunch;Pubs;Nightlife;Coffee & Tea;Bars;Scandinavian;Food;Gastropubs
2909,"""Taco Bell""","""4304 W Indian School Rd""",Phoenix,85031,2,4,1,Tex-Mex;Fast Food;Mexican;Restaurants
2910,"""iQ Food""","""100 King Street W""",Toronto,M5X 2A2,4.5,7,1,Restaurants;Gluten-Free;Salad;Fast Food
2911,"""Einstein Bros Bagels""","""1820 W Northern Ave""",Phoenix,85021,3,30,1,Food;Bagels;Delis;Breakfast & Brunch;Restaurants
2912,"""Mr Zagros""","""525 Cityview Boulevard""",Vaughan,L4H 0Z4,4,43,1,Donairs;Turkish;Food;Restaurants;Mediterranean
2913,"""b.good""","""487 Cornwall Road""",Oakville,L6J 7S8,3.5,24,1,Juice Bars & Smoothies;Burgers;Restaurants;Salad;Food
2914,"""Burger King""","""12380 Pearl Rd""",Strongsville,44136,2,7,1,Fast Food;Burgers;Restaurants
2915,"""Wendy's""","""6500 Albemarle Rd""",Charlotte,28212,3.5,3,1,Burgers;Fast Food;Restaurants
2916,"""Starbucks""","""1115 Finch Avenue W""",Toronto,M3J 2E5,4.5,9,1,Food;Cafes;Restaurants;Coffee & Tea
2917,"""Flyjin Café""","""417 Rue Saint-Pierre, Suite 101""",Montréal,H2Y,4.5,13,1,Restaurants;Local Flavor;Bakeries;Cafes;Juice Bars & Smoothies;Food;Coffee & Tea
2918,"""Subway""","""13 Newborough""",Scarborough,YO11 1NA,3,4,1,Food;Fast Food;Food Delivery Services;Restaurants
2919,"""Teriyaki Boy Healthy Grill""","""9055 S Eastern Ave, Ste 1-B""",Las Vegas,89123,3.5,213,1,Japanese;Restaurants;Asian Fusion;Fast Food
2920,"""El Pollo Loco""","""6131 W Lake Mead Blvd""",Las Vegas,89108,2,25,1,Mexican;Fast Food;Restaurants
2921,"""Erabliere Au Sous Bois""","""164 Du Sous-Bois Ch""",Mont-Saint-Gregoire,J0J 1K0,3,3,1,Event Planning & Services;Party & Event Planning;Venues & Event Spaces;Canadian (New);Restaurants;Food;Caterers
2922,"""Manchu Wok""","""1800 Sheppard Avenue E""",Toronto,M2J 5A7,2,5,1,Chinese;Fast Food;Restaurants
2923,"""Kub Khao Thai Eatery""","""3561 Sheppard E""",Toronto,M1T 3K7,4,170,1,Restaurants;Thai;Food Delivery Services;Food
2924,"""Tim Hortons""","""17250 Highway 27""",Schomberg,L0G 1T0,4.5,4,1,Sandwiches;Coffee & Tea;Restaurants;Delis;Bakeries;Food
2925,"""Einstein Bros Bagels""","""15768 N Frank Lloyd Wright Blvd""",Scottsdale,85260,2.5,47,1,Restaurants;Food;Coffee & Tea;Bagels;Delis
2926,"""Thai Green Chili""","""1059 Bloor St W""",Toronto,M6H 1M3,2.5,35,1,Specialty Food;Ethnic Food;Thai;Restaurants;Food
2927,"""Jimmy John's""","""780 W Elliot Rd""",Tempe,85284,3.5,68,1,Sandwiches;Food;Restaurants;Food Delivery Services;Delis
2928,"""Mariscos  Bahia De Guaymas""","""4220 S 16th St""",Phoenix,85040,4,9,1,Karaoke;Seafood;Mexican;Nightlife;Restaurants
2929,"""Pizza 4 Frères""","""784 Boulevard Curé-Labelle""",Laval,H7V 2V3,4,3,1,Restaurants;Pizza;Fast Food
2930,"""Louisianne's""","""7464 Hubbard Ave""",Middleton,53562,4,98,1,Cocktail Bars;Restaurants;Seafood;Nightlife;Cajun/Creole;Bars
2931,"""Mount Everest Sushi""","""128 Oakland Ave""",Pittsburgh,15213,4.5,101,1,Food;Poke;Sushi Bars;Asian Fusion;Restaurants
2932,"""Wendy's""","""8273 W Union Hills Dr""",Glendale,85308,2,20,1,Burgers;Restaurants;Fast Food
2933,"""Five Star Tavern""","""2425 N Rainbow Blvd""",Las Vegas,89108,3,24,1,Bars;Arts & Entertainment;Restaurants;American (Traditional);Beer;Wine & Spirits;Nightlife;Food;Sports Bars;Casinos
2934,"""Burger King""","""9668 E Riggs Rd""",Sun Lakes,85248,2.5,13,1,Fast Food;Restaurants;Burgers
2935,"""Cafe Cassis""","""43-45 Salisbury Road""",Edinburgh,EH16 5AA,4.5,7,1,Mediterranean;Cafes;Food;Coffee & Tea;British;Restaurants;French
2936,"""South St. Burger""","""1 Bass Pro Mills Drive""",Vaughan,L4K 0A2,2.5,11,1,Ice Cream & Frozen Yogurt;American (Traditional);Burgers;Food;Restaurants;Fast Food
2937,"""Sweets Raku""","""5040 W Spring Mountain Rd, Ste 3""",Las Vegas,89146,4.5,857,1,Desserts;American (Traditional);Bars;Food;Restaurants;Wine Bars;Nightlife
2938,"""Papa Primoz""","""3790 W 117th St""",Cleveland,44111,3,13,1,Restaurants;Food;Pizza
2939,"""Pierinos Take Away Food Shops""","""11 Bernard Street""",Edinburgh,EH6 6PW,3.5,6,1,Fast Food;Restaurants
2940,"""Subway""","""4028 Beechwood Blvd""",Pittsburgh,15217,3.5,4,1,Fast Food;Restaurants;Sandwiches
2941,"""Bonflavor""","""100 Steeles Avenue  W, Unit 18 & 19""",Vaughan,L4J 7Y1,3,60,1,Dim Sum;Seafood;Soup;Chinese;Restaurants
2942,"""Auntie Anne's""","""4550 E Cactus Rd""",Phoenix,85032,3,4,1,Food;Food Stands;Pretzels;Restaurants
2943,"""McDonald's""","""1909 Hoffman Rd""",Gastonia,28056,3,4,1,Restaurants;Fast Food;Burgers
2944,"""Johnny Rockets""","""2270 E Williams Field Rd, Bldg B, Ste 101""",Gilbert,85295,3,67,1,Sandwiches;Fast Food;Restaurants;Burgers;American (Traditional);Diners
2945,"""Harvey's Restaurants""","""2555 Victoria Park Ave""",Scarborough,M1T 1A3,3.5,11,1,American (Traditional);Restaurants;Barbeque;Burgers;Fast Food
2946,"""China Imbiss Sing-Ki Wok""","""Rotebühlplatz 2""",Stuttgart,70173,3,8,1,Chinese;Restaurants;Food
2947,"""Thai Basil Signature""","""4550 E Cactus Rd, Ste G28""",Phoenix,85032,3.5,118,1,Pubs;Nightlife;Thai;Food;Bars;Restaurants
2948,"""Subway""","""652 N High Point Rd""",Madison,53717,3.5,3,1,Restaurants;Fast Food;Sandwiches
2949,"""Harvey's Restaurants""","""3343 Bayview Ave""",North York,M2K 1G4,3,8,1,Fast Food;Restaurants;Burgers;American (Traditional)
2950,"""Subway""","""2365 E Bonanza Rd, Unit 9, Vegas Plaza""",Las Vegas,89101,2,3,1,Fast Food;Sandwiches;Restaurants
2951,"""Landmark Tavern & Grille""","""7865 Plains Rd""",Mentor On The Lake,44092,4.5,3,1,Pizza;Mexican;American (Traditional);Bars;Sports Bars;Burgers;Restaurants;Nightlife;Seafood
2952,"""Subway""","""3395 E Tropicana Ave, Ste 11045""",Las Vegas,89121,4.5,11,1,Food;Restaurants;Sandwiches;Fast Food
2953,"""Ibby's Fish and Chicken""","""6165 W Chandler Blvd, Ste 1""",Chandler,85226,4.5,164,1,Fish & Chips;Restaurants;Soul Food;American (Traditional);Chicken Wings
2954,"""McDonald's""","""1429 W Baseline Rd""",Tempe,85283,1.5,17,1,Burgers;Fast Food;Restaurants
2955,"""Doce Taqueria""","""1220 E Carson St""",Pittsburgh,15203,4.5,188,1,Mexican;Restaurants;Food;Food Trucks
2956,"""ABC Bakery Coffee Shop""","""3618 Victoria Park Ave""",Toronto,M2H,4,30,1,Cafes;Food;Bakeries;Diners;Restaurants
2957,"""Little Tokyo Japanese Restaurant""","""5301 E Independence""",Charlotte,28212,2,3,1,Seafood;Japanese;Restaurants
2958,"""Chipotle Mexican Grill""","""1 Bass Pro Mills Dr, Ste FC6A""",Vaughan,L4K 5W4,3,14,1,Restaurants;Fast Food;Mexican
2959,"""Piero's Italian Cuisine""","""355 Convention Center Dr""",Las Vegas,89109,4,348,1,Seafood;Restaurants;Italian
2960,"""Kafein Café-Bar""","""1429A Rue Bishop""",Montréal,H3G 2E4,3.5,42,1,Sandwiches;Music Venues;Arts & Entertainment;Restaurants;Coffee & Tea;Nightlife;Cocktail Bars;Bars;Cafes;Food
2961,"""The Railbridge Bistro""","""4 Newhalls Road""",Queensferry,EH30 9TA,4,18,1,Bistros;Delis;Restaurants;Food;Desserts;Shopping;Breakfast & Brunch;Flowers & Gifts;British
2962,"""POPLAR . Tapas Restaurant & Bar""","""224 W 10th St""",Charlotte,28202,4.5,46,1,Cafes;Nightlife;Wine Bars;Food;Restaurants;Tapas Bars;Bars;Desserts
2963,"""Sabatino's Authentic NY Pizzeria""","""7660 W Cheyenne Ave""",Las Vegas,89129,3.5,211,1,Fast Food;Pizza;Restaurants;Italian
2964,"""Arby's""","""5235 Detroit Rd""",Sheffield Village,44054,3,4,1,Restaurants;Fast Food;Sandwiches
2965,"""Churrasco of Portugal""","""4-95 Middlecote Drive""",Ajax,L1T 0A9,3.5,24,1,Barbeque;Restaurants;Food;Portuguese
2966,"""AJ's""","""One San Marcos Pl""",Chandler,85225,3.5,17,1,Cafes;Food;Breakfast & Brunch;American (Traditional);Restaurants
